0	Fields group	Management of the resource											Metadata of the artefact (description of the item)																																																				Link(s) to related resources			0
0													Artefact identity				Related entities			Artefact typology						Artefact format						Copper-plates set format								Date				Place of original exposition			Place of discovery							Place of preservation									Rights					0
0	Fields	Identifier of the resource	Origin of the metadata	DHARMA import	Editor of the metadata	Date of the edition	Contributor of the metadata	Reviewer	Date of review	Project	Corpus	Distribution rights of the metadata	Identifier of the artefact	Designation	Alternative designation	Alternative designation	Identifier(s) of the text(s)	Identifier of the conglomerate artefact	Identifier of the monument	Artefact type 1	Reuse	Artefact type 2	Material type 1	Material type 2	Iconography and decoration	Height	Width	Depth	Diameter	Circumference	Weight	Plates (observed)	Plates (estimated)	Weight other	Binding information	Preservation of seal	Sealing technique	Height (or diam.) of the seal	Width (or diam.) of the seal	CE Date	Date range	History of the artefact	Remarks	Current Availability	Place of original exposition	Place of original exposition ID	Place of discovery	Place of discovery ID	Place of discovery coordinates	Discovery event 1	Date of discovery event 1	Discovery event 2	Date of discovery event 2	Collection or place of preservation	Collection ID or place of preservation ID	Inventory number	preservation event 1	preservation event 1	preservation event 2	preservation event 2	preservation event 3	preservation event 3	Institution or private person	Distribution rights of the artefact	Identifier of the surrogate	Identifier of the digital image	Link to external repository of images	0
58		CONARTVengiCalukya000058			daba	2024-02-12				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000058							documentary-copper--plate			metal-copper_alloy			6.3	16.5				85	1	3		Ring hole 2.5 cm from left edge, vertically centred, diameter 1.4 cm.	no	not applicable				719-755	Received from S. T. Srinivasagopalachari, an advocate of Madras		in_collection			unknown			find	1913-1932			National Museum, New Delhi	56.121/7	56.121/7								All rights reserved				58
59		CONARTVengiCalukya000059			daba	2023-12-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000059							documentary-copper--plate			metal-copper_alloy		Seal: moon above effaced legend, lotus below.	7	17.3					3			Ring hole 2.4 cm from left edge, vertically centred, diameter 1.3 cm.	yes	seal_on_binding_ring	4.5	4.5		641-673	Found at unknown time in or before 1976 while digging in fields, together with 00060 and 00061. 2023-02-15 observed by daba;  1976-03-04: purchased by Hyderabad Museum from M. Gangiah, Machilipatnam	The plates are very thin and have no raised edges.	in_collection			Nandigāma, Nandigama mandalam, Krishna District		16.773085294964144, 80.28616627750414	find	1967-1976			Hyderabad, Telangana State Archaeology Museum	76.37	76.37	acquisition	1976-03-04	observed	2023-02-15				All rights reserved				59
60		CONARTVengiCalukya000060			daba	2024-02-21				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000060							documentary-copper--plate			metal-copper_alloy		Seal: moon and two stars above legend, lotus below.	5.3	16.7					3				yes	seal_on_binding_ring	3.4	3.4		707-709	Found at unknown time in or before 1976 while digging in fields, together with 00059 and 00061, according to Ramesan1988_01. The ARIE gives the findspot as Machilipatnam without further details. 2023-02-15 NOT observed by daba in Hyderabad		in_collection			Nandigāma, Nandigama mandalam, Krishna District		16.773085294964144, 80.28616627750414	find	1967-1976			Hyderabad, Telangana State Archaeology Museum	76.36	76.36	not_observed	2023-02-15						All rights reserved				60
61		CONARTVengiCalukya000061			daba	2024-02-21				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000061							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	5.7	13.9					3				yes	seal_on_binding_ring	3.8	3.8		722-724	Found at unknown time in or before 1976 while digging in fields, together with 00059 and 00060. 2023-02-15 NOT observed by daba in Hyderabad		in_collection			Nandigāma, Nandigama mandalam, Krishna District		16.773085294964144, 80.28616627750414	find	1967-1976			Hyderabad, Telangana State Archaeology Museum	76.35	76.35	not_observed	2023-02-15						All rights reserved				61
62		CONARTVengiCalukya000062			daba	2024-07-17				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000062							documentary-copper--plate			metal-copper_alloy			7.9	23				387	5			Ring hole 2.2 cm from left edge, vertically centred, diameter 0.9 cm.	no	not applicable				849-892	The plates were obtained from M. Venkataramayya, superintendent of the ASI, and deposited in the State Museum of Hyderabad according to Venkataramanayya1974_03. No further details reported. 2023-02-15 NOT observed by daba in Hyderabad	The ring and seal are lost.	in_collection			Vinnakōṭa, Gudivada Taluk, Krishna District, Andhra Pradesh		16.370776083679885, 81.08897708343459	find	1925-1974			Hyderabad, Telangana State Archaeology Museum			not_observed	2023-02-15						All rights reserved				62
63		CONARTVengiCalukya000063			daba	2025-03-28				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000063							documentary-copper--plate			metal-copper_alloy		Seal: above legend, varāha (couchant?) facing proper left, with aṅkuśa in front and cāmara behind; moon with sun above. Below legend: lotus flower at the bottom.	11.3	23.2				3280	3		seal and ring: 1573 g.	Ring hole 4 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	8.1	8.1		921-927	The plates were already in the Andhra Pradesh State Museum (Hyderabad) when edited by Venkataramanayya. 2023-02-15 observed by daba		in_collection			unknown			find	1924-1973			Hyderabad, Telangana State Archaeology Museum	P.6418	P.6418	observed	2023-02-15						All rights reserved				63
64		CONARTVengiCalukya000064			daba	2025-03-31				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000064							documentary-copper--plate			metal-copper_alloy			13.6	23				1353	3	5		The hole for the ring is 3.2 cm from the edge of the semicircular projection, with its centre aligned with the left edge of the main rectangular area of the plates. The hole is a rough oval, horizontal with respect to the Cālukya grant and vertical with respect to the Vijayanagar grant, 10 mm on the shorter diameter and 20 mm on the longer.	no	not applicable				926-928	Found during renovation, buried below the door of a cowshed. 1939-1940: Returned to the Government Epigraphist in Ootacamund	The Eastern Cālukya plates were overwritten with a Vijayanagar grant and re-cut to a shape typical of the latter, with a semicircular projection on what is the left side of the Cālukya plates and the top of the Vijayanagar plates. Lakshminarayan Rao and the ASI cover sheet report different figures for the width (23.7 and 19.7 cm respectively), but give approximately the same height. The width shown here has been computed from the ASI photograph on the basis of the height. The width recorded on the ASI sheet corresponds closely to the width of the plates without the circular projection. Given the amount of text lost at the beginning of lines, the original width would have exceeded the current width only by very little.	uncertain			Nūtimaḍugu, Anantapura District, Andhra Pradesh		14.49071821753427, 77.325910071156	find	1935-1939			unknown			move	1939-1940						All rights reserved				64
65		CONARTVengiCalukya000065			daba	2024-07-09				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000065							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun (Venkataramanayya: moon and a knob on either side) above legend, lotus below.	7	19.1				1219	3		Ring and seal: 370 g; plates: 850 g.	Ring hole 2.8 cm from left edge (measured on the estampage; 3.05 cm according to Venkataramanayya), vertically centred, diameter 1.2 cm (measured on the estampage; 1.5 cm according to the ASI cover sheet).	yes	seal_on_binding_ring	4	4		808-847	Received by the ASI from D. Sitaramaraju of Maddur through the tahsildar of Madira taluk, Khammam district. Findspot identification uncertain; the area is Madhira Mandal in the Khammam district of Telangana, but I cannot find a Maddūr there. The coordinates shown are for Maturu or Matoor or Matoorpet, about 6 km NE of Madhira. ca. 1963 Returned to the sender according to ARIE and the ASI cover sheet. At some point between 1963-1974, deposited in the State Museum of Hyderabad according to Venkataramanayya. 2023-02-15 NOT observed by daba in Hyderabad.		in_collection			Maddūr, Madira Taluk, Khammam District, Andhra Pradesh (now Telangana)		16.938804448177002, 80.41496680806496	find	1959-1963			Hyderabad, Telangana State Archaeology Museum			move	1962-1964	acquisition	1963-1974	not_observed	2023-02-15		All rights reserved				65
66		CONARTVengiCalukya000066			daba	2024-03-01				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000066							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	8.3	17.8	0.6			1137	3			Ring hole 3.4 cm from left edge, vertically centred, diameter 1.3 cm.	yes	seal_on_binding_ring	5.1	5.1		755-772	Discovered "nearly two years back" (says Subba Rao in 1930-31, but I do not know when he wrote the manuscript). The plates were found "somewhere in West Godavari District" together with 00067. No further details of the discovery are reported. 2023-02-13 observed by daba	The ring and seal were present when Subba Rao studied the plates, but not kept together in 2023, when the plates were bound together with string. The weight reported by Subba Rao is presumably for the set including the ring and seal. Subba Rao reports the dimensions of the seal of 00066 inaccurately, and does not indicate any difference between these two seals. So the seal of this set may have been similarly oval.	in_collection			West Godavari District, Andhra Pradesh			find	1925-1929			Kakinada, ASP Museum	73.140	73.140	observed	2023-02-13						All rights reserved				66
67		CONARTVengiCalukya000067			daba	2024-03-01				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000067							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	7.6	17.3	0.3			612	3			Ring hole 2.6 cm from left edge, vertically centred, diameter 1.1 cm.	yes	seal_on_binding_ring	4.2	4.2		755-772	Discovered "nearly two years back" (says Subba Rao in 1930-31, but I do not know when he wrote the manuscript). The plates were found "somewhere in West Godavari District" together with 00066. No further details of the discovery are reported. 2023-02-13 observed by daba	Subba Rao reports the seal face as circular with a diameter of 5.1 cm. The dimensions recorded here are based on my measurement, but there is also a chance that the seal now associated with the plates is not the original.	in_collection			West Godavari District, Andhra Pradesh			find	1925-1929			Kakinada, ASP Museum	73.139	73.139	observed	2023-02-13						All rights reserved				67
68		CONARTVengiCalukya000068			daba	2024-07-17				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000068							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun on top, boar facing proper right above legend, lotus below.	5.5	13.7				630	3		Plates: 374 g; ring and seal: 256 g.	Ring hole 1.6 cm from left edge, vertically centred, diameter 1.3 cm.	yes	seal_on_binding_ring	4.5	4.5		849-892	Found by Chellapalli Kotadu while digging. The findspot coordinates coordinates recorded here are for the village named Chandole on the map, which is associated with a hamlet named Tsandavolu. According to Google Maps, there is also a Chandavolu Vari Palem at 16.06282713229914, 80.71538625281823.		in_collection			Candavōlu, Bapatla Taluk, Guntur District, Andhra Pradesh		16.00782402301211, 80.60829367462676	find	1937			Indian Museum, Calcutta	11358	11358								All rights reserved				68
69		CONARTVengiCalukya000069			daba	2024-10-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000069							documentary-copper--plate			metal-copper_alloy		Seal: the legend is slightly below the middle. Above it, there is a crescent moon at the centre top and the sun to its proper left, but nothing else. The figure of the boar (passant, facing proper left) is slightly below the centre, with the legend somewhat distorted in the middle to make room for it. There is a vertical aṅkuśa in front of (to the proper left of) the Varāha, and a lotus with both upward and downward petals at the bottom. The base of the seal is also an ornate lotus with two makaras out of whose mouths the ring comes. On the flatter sides of this base there are images of seated Lakṣmī and Gaṇeśa inside ornate gavākṣa windows or flaming circles. All excellently exexuted; reportedly called by Lakshmana Rao the most beautiful copperplate seal he had ever seen.	10.1	24.1					7			Ring passing through holes, no details reported.	yes	seal_on_binding_ring	6.5	6.5		849-892	Found while digging a mound for old earth to use as fertiliser, precise location unknown. The plates were inside an earthen pot. 2023-02-06 NOT observed by daba in Chennai	The size of the seal is reported as 2.5" by Krishna Rao, while the ASI cover sheet says 7 cm and 5.5". I assume the last is a mistake for 2.5" and the correct size is something between 2.5" and 7 cm.	in_collection			Sātalūru, Bandar taluk, Krishna district		16.370497468485787, 81.21671386762156	find	1915-1924			Chennai, Government Museum	Sridhar+Balasubramanian2011_01: EC17, acc. no. 76/35 (Krishna Rao returned them to the office of Nageswara Rao Pantulu, ed. of the Bhārati, who had acquired them from the finder)	Sridhar+Balasubramanian2011_01: EC17, acc. no. 76/35 (Krishna Rao returned them to the office of Nageswara Rao Pantulu, ed. of the Bharati, who had acquired them from the finder)	not_observed	2023-02-06 						All rights reserved				69
70		CONARTVengiCalukya000070			daba	2025-04-09				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000070							documentary-copper--plate			metal-copper_alloy		Above legend: varāha facing proper right, with horizontal aṅkuśa above, sun disc above and to proper left (back), moon crescent above and to proper right (front). Behind varāha, below the sun, a vertical cāmara. In front of varāha, below moon, a vertical object resembling a mace. Below the legend: lotus flower.	10.4	23.5					5			Ring hole 4.8 cm from left edge, vertically centred, diameter 1.9 cm.	yes	seal_on_binding_ring	7	7		944-946	The findspot reported in ARIE is actually the village granted in 00030, which in turn was apparently found far from that site.		in_collection			Arumbāka, Repalle Taluk, Guntur District, Andhra Pradesh		16.041422445438407, 80.65926141417387	find	1934-1938			Indian Museum, Calcutta	11852	11852								All rights reserved				70
71		CONARTVengiCalukya000071			daba	2025-10-30				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000071							documentary-copper--plate			metal-copper_alloy		Seal: above legend: boar facing proper right. Aṅkuśa in front of boar. Moon behind boar. Sun at the top. Below legend: lotus flanked by two cāmaras.	11.4	24.1				3313	5		Ring and seal: 1213 g. Plates: 2100 g.	Ring hole 5.8 cm from left edge, vertically centred, diameter 1.9 cm.	yes	seal_on_binding_ring	7.6	7.6		969-971	Found buried in the village of Kaṇḍyam about three years before the edition.	Part of the fourth plate crumbled away after discovery. The first and the fourth plates are palimpsests, with an earlier inscription beaten out. These plates have been cut down to the size of the other plates in the set. Ring dimensions not reported.	uncertain			Kandyam (now also Khandyam), Vizagapatam district		18.52360699467324, 83.78778025368496	find	1933-1935			unknown	ARIE: returned to owner, Manda Narasimham Pantulu, Chicacole	ARIE: returned to owner, Manda Narasimham Pantulu, Chicacole								All rights reserved				71
72		CONARTVengiCalukya000072			daba	2024-02-13				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000072							documentary-copper--plate			metal-copper_alloy		Seal: moon above legend, lotus below.	6.9	18					3			Ring hole 2.7 cm from left edge, vertically centred, diameter 1.1 cm.	yes	seal_on_binding_ring	4.5	4.5		690-692	The place of discovery is uncertain. The plates came to B. V. Krishna Rao from Rudraraju Venkatarama Raju of Malikipuram (at the coordinates recorded here), but it is not known whether the plates were found there, only that Rudraraju "rescued them from destruction". They were sent to Krishna Rao "some time" before his edition published in 1938-39. 2023-02-12 observed by daba		in_collection			Malikipuram, Razole taluk, Andhra Pradesh		16.395548274756656, 81.8053983744616	find	1916-1935			Rajahmundry, Rallabandi Subba Rao Archaeological Museum	16	16	observed	2023-02-12						All rights reserved				72
73		CONARTVengiCalukya000073			daba	2025-11-04				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000073							documentary-copper--plate			metal-copper_alloy		The seal probably showed a boar.	8.4	18					3			Ring hole 4.5 cm from left edge, vertically centred, diameter 1.5 cm.	no	not applicable				945-970	Found together with 00107 in a pot while digging in Pāmulavāka. 2023-02-12 observed by daba	The ring and seal was used by the finder for making bangles. All three plates have rims on both sides. The second plate is thicker than the first and last. There are traces of older writing on the third plate.	in_collection			Pāmulavāka, Narsipatam taluk, Vizag district		17.571257734152358, 82.6034480618698	find	1933-1937			Rajahmundry, Rallabandi Subba Rao Archaeological Museum	14	14	observed	2023-02-12						All rights reserved				73
74		CONARTVengiCalukya000074			daba	2025-09-26				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000074							documentary-copper--plate			metal-copper_alloy		The seal is corroded, but a boar (standing, facing [probably the viewer's] right) at the top, the legend in the centre, and a lotus flower viewed from above at the bottom are recognisable.	9.5	19.7					3				yes	seal_on_binding_ring	7.3	7.3		945-970	Found by Sewell in the Huzūr Treasury of the Collector's Office at Masulipatam. 2023-02-06 NOT observed by daba in Chennai	Half of the third plate is lost. No visual documentation is available, so the size of the inscribed area and the size and position of the binding hole could not be established.	in_collection			Machilīpaṭṇam, Bandar Taluk, Krishna District, Andhra Pradesh			find	1868-1894			Chennai, Government Museum	SrinivasaAyyangar1918_01: CE19	SrinivasaAyyangar1918_01: CE19	not_observed	2023-02-06 						All rights reserved				74
75		CONARTVengiCalukya000075			daba	2025-01-03				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000075							documentary-copper--plate			metal-copper_alloy		Seal: above legend, varāha facing proper left; below legend: horizontal aṅkuśa, and probably the moon on proper right and the sun on proper left; lotus flower at the bottom.	9.2	19.3					5			Ring hole 3.4 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	8.5	8.5		892-921	Was in the possession of Potturu Appana, the karanam of Guntur, when Walter Elliot made his rubbings.		uncertain			unknown			find	1821-1860			unknown										All rights reserved				75
76		CONARTVengiCalukya000076			daba	2024-07-05				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000076							documentary-copper--plate			metal-copper_alloy			10	21.2					1	5		Ring hole 4.7 cm from left edge, vertically centred, diameter 1.5 cm.	no	not applicable				892-973	Acquired by R. Subba Rao "several years" before 1945 from a ryot of Bhimavaram, which may not be the findspot. 2023-02-12 observed by daba		in_collection			Bhimavaram, West Godavari District		16.542709937949102, 81.52099753895878	find	1931-1945			Rajahmundry, Rallabandi Subba Rao Archaeological Museum	20	20	observed	2023-02-12						All rights reserved				76
77		CONARTVengiCalukya000077			daba	2024-07-05				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000077							documentary-copper--plate			metal-copper_alloy		Above legend: boar facing proper left; above boar: sun and moon; to proper right of boar: cāmara(?) and aṅkuśa; to proper left of boar: cāmara(?); below legend at bottom: lotus blossom from above; on proper right between lotus and legend: some sort of floral device (or śaṅkha?).	10.2	19.9				2240	5			Ring hole 4.4 cm from left edge, vertically centred, diameter 1.8 cm.	yes	seal_on_binding_ring	5.8	5.8		934-945	According to SubbaRao1956-1958_01, the plates were found by pupils of the Board High School in Muramanda village in August 1956 and obtained from them by their teachers P. B. Govindachari and M. Sambasiva Ramamurty. The ARIE, however, reports the findspot as Kōrukoṇḍa. That place is 10 km NNE of Rajamundry, while Muramanda is 15 km SSE of the same city. 2023-02-10 observed by daba		in_collection			Muramanda, East Godavari District, Andhra Pradesh		16.882161656942273, 81.85858452152603	find	1956			Eluru, Archaeological Museum	21	21	observed	2023-02-10						All rights reserved				77
78		CONARTVengiCalukya000078			daba	2025-10-30				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000078							documentary-copper--plate			metal-copper_alloy		Seal: above legend: standing boar facing proper left. Around the boar, small icons conterclockwise from proper left: śaṅkha (in front of boar); cāmara; something that looks like a spinning top, which Fleet suggests may be a spearhead (kunta) but which I rather think is a parasol; moon (top), sun; another cāmara (or possibly a peacock fan), and an hourglass-shaped drum (behind the boar). Below the legend: a flower viewed from above with four rounded petals and four stamens between the petals. Below the flower, another flower on a sinuous horizontal stalk which may be a kanaka-daṇḍa; to the proper right of the flower, something that looks like the glyph for ga, which may be a makara-toraṇa; to the proper left of and above the flower, an aṅkuśa.	13	24.8					5			Ring hole 6.7 cm from left edge, vertically centred, diameter 1.7 cm.	yes	seal_on_binding_ring	7.6	7.6		1018-1061			in_collection			Kōrumilli, Godavari District, Andhra Pradesh		16.732221708488726, 81.96595787587977	find	1821-1860			British Library	Ind Ch 15	Ind Ch 15								All rights reserved				78
79		CONARTVengiCalukya000079			daba	2025-10-30				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000079							documentary-copper--plate			metal-copper_alloy		Seal: above legend: running boar facing proper left. Around the boar, small icons conterclockwise from proper left: aṇkuśa (in front of boar); śaṅkha; cāmara; parasol; moon (top), sun; another cāmara (or more likely a peacock fan), and an oblong that probably represents a cylindrical drum (described as damaru by Venkataramanayya, but not really hourglass-shaped). Below the legend: a flower viewed from above with four petals and four stamens between the petals. To the proper left of the flower, another flower on a sinuous horizontal stalk which Venkataramanayya calls a lotus bud but which may be kanaka-daṇḍa; to the proper left of the flower, something that looks like the glyph for ga, which Venkataramanayya calls a four-legged stool, but which may be a makara-toraṇa.	12.7	25.4				3406	5		Plates: 2333 g. Ring and seal: 1073 g.	Ring hole 4.6 cm from left edge, vertically centred, diameter 2 cm.	yes	seal_on_binding_ring	7.6	7.6		1018-1061	Found while digging for earth. 2023-02-06 NOT observed by daba in Chennai	Much of the last plate is lost, only the part near the ring is extant. The width of this fragment is 6.3 to 8.9 cm.	in_collection			Kalidiṇḍi, Kaikalur taluk, Krishna district		16.506568039489494, 81.29414523501714	find	1938			Chennai, Government Museum	Sridhar+Balasubramanian2011_01: EC22, acc. no. 100/44 (ARIE: returned to owner, N. Venkataramanayya, University of Madras)	Sridhar+Balasubramanian2011_01: EC22, acc. no. 100/44 (ARIE: returned to owner, N. Venkataramanayya, University of Madras)	not_observed	2023-02-06 						All rights reserved				79
80		CONARTVengiCalukya000080			daba	2024-02-10				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000080							documentary-copper--plate			metal-copper_alloy		Seal: above legend: sun in centre, boar (running?) facing to proper left and slightly upward, on proper right of and above sun; moon crescent on proper right of sun. Below legend: horizontal aṅkuśa and lotus flower at bottom.	9	16.8					5			Ring hole 4.2 cm from left edge, vertically centred, diameter 1.4 cm.	yes	seal_on_binding_ring	5.6	5.6		719-755	The plates were already in the Madras Museum when registered by the ASI. 2023-02-06 observed by daba	Ramesam incorrectly states that the grant consists of four plates.	in_collection			unknown			find	1868-1917			Chennai, Government Museum	Cha.E-4	Cha.E-4	observed	2023-02-06 						All rights reserved				80
81		CONARTVengiCalukya000081			daba	2024-02-26				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000081							documentary-copper--plate			metal-copper_alloy		The seal is so effaced that nothing is recognisable on it.	6	17					3				yes	seal_on_binding_ring	2	2		719-755	Acquired by Dr. M. Radhakrishna Sarma, Head of the Department of Ancient Indian History and Archaeology, Osmania University, Hyderabad, from some college students in Parvatipuram, Srikakulam District, Andhra Pradesh. 2023-02-15 NOT observed by daba in Hyderabad	Plate 3 is broken, being only 3 cm in width. The seal diameter reported by Parabrahma Sastry is so small that I wonder if he meant inches when he wrote centimetres.	in_collection			unknown			find	1974-1993			Hyderabad, Telangana State Archaeology Museum	ParabrahmaSastry1994_01: on display at the State Museum, Hyderabad	ParabrahmaSastry1994_01: on display at the State Museum, Hyderabad	not_observed	2023-02-15						All rights reserved				81
82		CONARTVengiCalukya000082			daba	2024-07-10				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000082							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun above legend, bottom part lost.	8.7	22				816	3		816 grams may be the weight of the plates without the ring and seal, the ASI cover sheet is not clear on this. Sampath, probably converting the 70 tolas shown on the ASI sheet differently, reports 812 grams explicitly for the ring and seal.	Ring hole 2.9 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	6.8	6.8		808-847	According to ARIE1938-1939 p72, this set comes from the same district as 00068, i.e. Guntur District, Andhra Pradesh. This is not indicated in the original ARIE report for this set, nor anywhere else that I am aware of. Returned to owner, Ramakrishnakavi, Oriental Manuscript Library, Madras.	The seal has become loose on the ring so it slides, and the ring can be opened to detach the plates. The bottom part of the seal is lost according to the ASI cover sheet, while Sampath reports it as bearing a lotus, but he also implies that he has not seen the seal and is only reporting what the ASI record says, in which case he is in error here. He also reports the seal's diameter as 5 cm. The ring and seal may have been lost after the ASI examined the plates.	uncertain			unknown			find	1913-1917			unknown										All rights reserved				82
83		CONARTVengiCalukya000083			daba	2024-03-14				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000083							documentary-copper--plate			metal-copper_alloy		The face of the seal has been obliterated by corrosion. Faint vestiges are compatible with a sun and moon on top, a legend in the lower middle, and a lotus flower at the bottom.	7.7	20.3				2203	5			Ring hole 2.6 cm from left edge, vertically centred, diameter 1.5 cm.	yes	seal_on_binding_ring	5.2	5.2		772-808	Found while digging near the village. I wonder if the actual findspot could not rather be Peravali in West Godavari district. 2023-02-06 observed by daba	Plate 5 is blank on both sides.	in_collection			Peravali, Guntur District, Andhra Pradesh		16.139097385998063, 80.71634513207809	find	1905-1914			Chennai, Government Museum	Cha.E-7	Cha.E-7	observed	2023-02-06 						All rights reserved				83
84		CONARTVengiCalukya000084			daba	2024-03-14				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000084							documentary-copper--plate			metal-copper_alloy		Seal: moon and sun above legend, lotus below.	6.4	17.8				513	3			Ring hole 3 cm from left edge, vertically centred, diameter 1.1 cm.	yes	seal_on_binding_ring	4.3	4.3		772-808	No further details known. 2023-02-13 observed by daba	Plate 1 is broken in the middle (width: 11.5 cm), with the right half lost. The plates are slightly hourglass-shaped, with the middle narrower than the ends. Some of the seal is broken off at the upper left edge, but the legend and emblem are not affected.	in_collection			Godavari District, Andhra Pradesh			find	1904-1913			Kakinada, ASP Museum	73.141	73.141	observed	2023-02-13						All rights reserved				84
85		CONARTVengiCalukya000085			daba	2024-03-18				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000085							documentary-copper--plate			metal-copper_alloy			6	18				478	3				no	not applicable				772-808	Sampath gives the name of the findspot as Kōnanūr, 6 km from Repalli. I see no village with such a name anywhere in the vicinity, except for Karumuru. Others citing the JAHC edition say the plates are from Karumuru, so I record that village as the findspot. However, Sampath1996_01 p172 also mentions some Kārumūru plates, and it is not clear whether he is talking about the set he is editing, or another one. 2023-02-06 NOT observed by daba in Chennai	The ring and seal are lost. The recorded weight is for the three plates.	in_collection			Kārumūru, near Repalli, Guntur District, Andhra Pradesh		16.060521325927397, 80.81676416672384	find	1942-1946			Chennai, Government Museum	Sridhar+Balasubramanian2011_01: EC23, acc. no. 139/49 (ARIE: the plates came from N. Venkataramanayya of Madras, presumably the scholar)	Sridhar+Balasubramanian2011_01: EC23, acc. no. 139/49 (ARIE: the plates came from N. Venkataramanayya of Madras, presumably the scholar)	not_observed	2023-02-06 						All rights reserved				85
86		CONARTVengiCalukya000086			daba	2024-10-15				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000086							documentary-copper--plate			metal-copper_alloy		Seal: above legend, Varāha facing proper left, crescent moon and sun in front of Varāha; below legend: aṅkuśa, lotus at bottom.	12	23				3040	5			Ring hole 5 cm from left edge, vertically centred, diameter 1.7 cm.	yes	seal_on_binding_ring	9	9		885-894	The plates came to the ASI from B. V. Krishna Rao of Rajahmundry. 2023-02-06 NOT observed by daba in Chennai		in_collection			unknown			find	1919-1938			Chennai, Government Museum	Sridhar+Balasubramanian2011_01: EC21, acc. no. 97/41 (ARIE: returned to owner, B. V. Krishna Rao)	Sridhar+Balasubramanian2011_01: EC21, acc. no. 97/41 (ARIE: returned to owner,  B. V. Krishna Rao)	not_observed	2023-02-06 						All rights reserved				86
87		CONARTVengiCalukya000087			daba	2025-03-28				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000087							documentary-copper--plate			metal-copper_alloy		Seal: above legend, varāha, with aṅkuśa in front and moon with sun probably above. Below legend: lotus flower at the bottom.	8.3	19.5				1108	5			Ring hole 3.7 cm from left edge, vertically centred, diameter 1.7 cm.	yes	seal_on_binding_ring	6.3	6.3		921-927	Sent to the ASI by the tehsildar of Tenali and returned to the owner.	The plates are very thin (but do have raised rims), and in a few spots completely worn through. The top right corner of the last plate is lost.	uncertain			Tenāli, Tenali Taluk, Guntur District, Andhra Pradesh			find	1914-1923			unknown										All rights reserved				87
88		CONARTVengiCalukya000088			daba	2024-01-12				DHARMA	VengiCalukya	CC0	CONARTVengiCalukya000088							documentary-copper--plate			metal-copper_alloy		Seal: moon at top above legend, possibly sun beside it; broken below legend.	6.3	19.4					3			Ring hole 1.9 cm from left edge, vertically centred, diameter 1.2 cm.	yes	seal_on_binding_ring	5	5		674-676	2023-02-15 observed by daba		in_collection			Pamiḍimukkala, Krishna District, Andhra Pradesh		16.280527778139664, 80.86789903114483	find	1907-1916			Hyderabad, Telangana State Archaeology Museum	P.6411	P.6411	observed	2023-02-15						All rights reserved				88
